license_number,ubi,trade_name,licensee_name,address,suite,city,state,county,zip,privilege,status,phone,is_se
413586,6033515760010001,4:20 FRIENDLY,,1515 LEWIS ST,,SPOKANE,WA,SPOKANE,99224,CANNABIS RETAILER,ACTIVE (ISSUED),5094990999,
414418,6033185960010004,418BAL ACCESS RETAIL,,661 NESS' CORNER RD,,PORT HADLOCK,WA,JEFFERSON,983390000,CANNABIS RETAILER,CLOSED (PERMANENT),3602977996,
424848,6035340690010002,420 CAPITOL,,5980 CAPITOL BLVD SE,,TUMWATER,WA,THURSTON,98501,CANNABIS RETAILER,ACTIVE (ISSUED),3604026368,
415083,6033585480010002,420 CARPENTER,,422 CARPENTER RD STE 105,,LACEY,WA,THURSTON,98503,CANNABIS RETAILER,ACTIVE (ISSUED),3604026368,
421797,6035495920010004,420 DOWNTOWN,,23694 HIGHWAY 3 STE A,,BELFAIR,WA,MASON,985280000,CANNABIS RETAILER,CLOSED (PERMANENT),3605616972,
426678,6035792630010002,420 ELMA ON MAIN,,306 W MAIN ST,,ELMA,WA,GRAYS HARBOR,98541,CANNABIS RETAILER,ACTIVE (ISSUED),2539061919,
427533,6033591250010002,420 EVERGREEN,,25 NE 2ND ST STE B,,STEVENSON,WA,SKAMANIA,986484215,CANNABIS RETAILER,CLOSED (PERMANENT),9715060696,
428560,6041829490010002,420 GRAND CENTRAL,,19941 OLD HIGHWAY 99 SW,,ROCHESTER,WA,THURSTON,98579,CANNABIS RETAILER,ACTIVE (ISSUED),3604026368,
415526,6033592380010001,420 HOLIDAY,,2028 10TH AVE,,LONGVIEW,WA,COWLITZ,98632,CANNABIS RETAILER,ACTIVE (ISSUED),3607033103,
426677,6035495920010006,420 SHELTON,,1065 SE STATE ROUTE 3,,SHELTON,WA,MASON,985849195,CANNABIS RETAILER,CLOSED (PERMANENT),3605616972,
414550,6034051800010001,420 SPOT SHOP,,1374 SE LUND AVE,SMP - 1,PORT ORCHARD,WA,KITSAP,98366,CANNABIS RETAILER,ACTIVE (ISSUED),3603405966,
414733,6033585480010001,420 WEST,,410 RONLEE LN NW A1,,OLYMPIA,WA,THURSTON,98502,CANNABIS RETAILER,ACTIVE (ISSUED),3604026368,
421759,6041829490010001,"420ME, LLC",,430 CARPENTER RD SE,,LACEY,WA,THURSTON,985037930,CANNABIS RETAILER,CLOSED (PERMANENT),3604026368,
422202,6024843170010012,49* NORTH CANNABIS,,1380 MILL ST STE A,,ADDY,WA,STEVENS,991019677,CANNABIS RETAILER,ACTIVE (ISSUED),5096844420,
414775,6034232020010001,4EVER HEALING,,9925 214TH AVE E STE F,,BONNEY LAKE,WA,PIERCE,983910000,CANNABIS RETAILER,CLOSED (PERMANENT),2532241442,
413700,6021379110010003,4US RETAIL,,23251 HWY 20,,OKANOGAN,WA,OKANOGAN,988400000,CANNABIS RETAILER,CLOSED (PERMANENT),5095579065,
421562,6033479560010004,8 BALL BARRISTER,,3833 PACIFIC AVE STE 3-C,,TACOMA,WA,PIERCE,984187897,CANNABIS RETAILER,CLOSED (PERMANENT),2533700736,
421757,6033479560010005,"8 BALL BARRISTER, LLC",,113 HOWERTON AVE,STE B,ILWACO,WA,PACIFIC,986249088,CANNABIS RETAILER,CLOSED (PERMANENT),2535721500,
413782,6033579130010002,A BUD & LEAF,,3015 PACIFIC AVE SE,,OLYMPIA,WA,THURSTON,985012042,CANNABIS RETAILER,CLOSED (PERMANENT),3608706000,
413821,6033579130010001,A BUD & LEAF,,421 LILLY RD SE,,OLYMPIA,WA,THURSTON,985012108,CANNABIS RETAILER,CLOSED (PERMANENT),3608706000,
413361,6032719560010001,A GREEN LIFE,,15219 NE 90TH ST UNIT B,,REDMOND,WA,KING,980523561,CANNABIS RETAILER,CLOSED (PERMANENT),2068537391,
421755,6032719560010002,A GREEN LIFE,,9625 15TH AVE SW,,SEATTLE,WA,KING,981062821,CANNABIS RETAILER,CLOSED (PERMANENT),2068537391,
421995,6032719560010003,A GREEN LIFE,,9823 15TH AVE SW UNIT D2,UNIT D2,SEATTLE,WA,KING,981062847,CANNABIS RETAILER,CLOSED (PERMANENT),2068537391,
425507,6032719560010005,A GREEN LIFE,,16390 CLEVELAND ST,,REDMOND,WA,KING,980524314,CANNABIS RETAILER,CLOSED (PERMANENT),2069159212,
414441,6034501390010005,A GREENER TODAY MARIJUANA,,5209 MARTIN LUTHER KING JR.,WAY S,SEATTLE,WA,KING,98118,CANNABIS RETAILER,ACTIVE (ISSUED),2068017756,
414814,6034501390010003,A GREENER TODAY MARIJUANA,,16053 AURORA AVE N STE B,STE B,SHORELINE,WA,KING,98133,CANNABIS RETAILER,ACTIVE (ISSUED),2068017756,
422044,6034501390010004,A GREENER TODAY MARIJUANA,,19315 BOTHELL EVERETT HWY #1,UNIT 1,BOTHELL,WA,SNOHOMISH,980127112,CANNABIS RETAILER,CLOSED (PERMANENT),2066877877,
422044,6041339060010001,A GREENER TODAY MARIJUANA,,19315 BOTHELL EVERETT HWY #1,UNIT 1,BOTHELL,WA,SNOHOMISH,98012,CANNABIS RETAILER,ACTIVE (ISSUED),4257736021,
422168,6035559160010003,A GREENER TODAY MARIJUANA-GOLD BAR,,16810 415TH AVE SE STE A-2,,GOLD BAR,WA,SNOHOMISH,98251,CANNABIS RETAILER,ACTIVE (ISSUED),4257736037,
422109,6035559160010002,A GREENER TODAY MARIJUANA-LYNNWOOD,,14608 HWY 99 SUITE #304,,LYNNWOOD,WA,SNOHOMISH,98087,CANNABIS RETAILER,ACTIVE (ISSUED),4257736037,
402107,6034501390010002,A GREENER TODAY RECREATIONAL,,10522 LAKE CITY WAY NE STE,C103 & C104,SEATTLE,WA,KING,981250000,CANNABIS RETAILER,CLOSED (PERMANENT),4257736021,
426039,6035146970010003,A GREENER TODAY WALLA WALLA,,655 WEST POPLAR ST,,WALLA WALLA,WA,WALLA WALLA,99362,CANNABIS RETAILER,ACTIVE (ISSUED),2063803608,
413896,6034341890010001,AARDVARK REEFEROLOGY,,325 NE LECHNER ST,,CAMAS,WA,CLARK,986070000,CANNABIS RETAILER,CLOSED (PERMANENT),3609075453,
421114,6047542880010001,ABCDEF LLC,,RETAIL TITLE CERTIFICATE,,CAMAS,WA,CLARK,986072454,RETAIL CERTIFICATE HOLDER,FORMER TITLE CERTIFICATE,3609097037,
422765,6035572950010001,ACCESS CANIBUS LLC,,3082 WAITTS LAKE RD,,VALLEY,WA,STEVENS,99181,CANNABIS RETAILER,ACTIVE (ISSUED),3604703051,
422663,6043425950000000,ALIEN COMMANDER LLC,,RETAIL TITLE CERTIFICATE,,BELLEVUE,WA,KING,980040000,CANNABIS RETAILER,CLOSED (PERMANENT),2064099468,
422663,6043425950000000,ALIEN COMMANDER LLC,,RETAIL TITLE CERTIFICATE,,BELLEVUE,WA,KING,980040000,RETAIL CERTIFICATE HOLDER,FORMER TITLE CERTIFICATE,2064099468,
421737,6033451150010006,ALL SPARK,,1625 CENTER ST STE A,,TACOMA,WA,PIERCE,984097920,CANNABIS RETAILER,CLOSED (PERMANENT),2063999999,
077000,6032719560010007,ALTERNATIVE MEDICINE COLLECTIVE,,15041 BOTHELL WAY NE,,LAKE FOREST PARK,WA,KING,981557603,CANNABIS RETAILER,CLOSED (PERMANENT),2069159212,
420895,6032719560010006,ALTERNATIVE MEDICINE COLLECTIVE,,17917 VASHON HWY SW,,VASHON,WA,KING,980705204,CANNABIS RETAILER,CLOSED (PERMANENT),9168359616,
414225,6033570900010001,ALTITUDE,,260 MERLOT DR,,PROSSER,WA,BENTON,993509533,CANNABIS RETAILER,CLOSED (PERMANENT),5097864200,
414225,6056243110010001,ALTITUDE,,260 MERLOT DR,,PROSSER,WA,BENTON,99350,CANNABIS RETAILER,ACTIVE (ISSUED),5093890676,
415486,6034023580010003,ALWAYS GREENER DOWNTOWN,,15937 REDMOND WAY STE B,,REDMOND,WA,KING,980523836,CANNABIS RETAILER,CLOSED (PERMANENT),4258615497,
415486,6035989000010001,ALWAYS GREENER DOWNTOWN,,15937 REDMOND WAY STE B,,REDMOND,WA,KING,980523836,CANNABIS RETAILER,CLOSED (PERMANENT),4258615497,
422954,6033525730010005,AMERICAN HARVEST,,7550 US 97,,PESHASTIN,WA,CHELAN,98847,CANNABIS RETAILER,ACTIVE (ISSUED),5033177035,
423431,6033525730010004,AMERICAN HARVEST,,3014 GS CENTER RD STE D,,WENATCHEE,WA,CHELAN,988019144,CANNABIS RETAILER,CLOSED (PERMANENT),5096301707,
410332,6033452790010001,AMERICAN MARY,,321 NE 45TH ST,,SEATTLE,WA,KING,98105,CANNABIS RETAILER,ACTIVE (ISSUED),3038295712,
420292,6031478630010001,AMERICAN MARY CANNABIS 21+,,5300 17TH AVE NW STE A,,SEATTLE,WA,KING,98107,CANNABIS RETAILER,ACTIVE (ISSUED),3038295712,
421905,6032170680010006,AMERICAN POT SHOP,,3005 NORTHVIEW CIRCLE,,SHELTON,WA,MASON,985842948,CANNABIS RETAILER,CLOSED (PERMANENT),2063292223,
414649,6033580640010001,AMERICANNA WEED CO,,320 N KELLOGG ST STE B,,KENNEWICK,WA,BENTON,993364944,CANNABIS RETAILER,CLOSED (PERMANENT),4252100546,
421652,6033570100010002,ANACORTES CANNABIS,,7656 STATE ROUTE 20 UNIT A,,ANACORTES,WA,SKAGIT,98221,CANNABIS RETAILER,ACTIVE (ISSUED),3602022198,
420941,6033264170010006,APEX CANNABIS,,120 E MISSION AVE,,SPOKANE,WA,SPOKANE,992021817,CANNABIS RETAILER,CLOSED (PERMANENT),5099983405,
421110,6033264170010002,APEX CANNABIS,,955 W BROADWAY AVE,,MOSES LAKE,WA,GRANT,988372602,CANNABIS RETAILER,CLOSED (PERMANENT),5094990646,
422447,6033264170010004,APEX CANNABIS,,21502 E GILBERT AVE,,OTIS ORCHARDS,WA,SPOKANE,990279241,CANNABIS RETAILER,CLOSED (PERMANENT),5094990646,
425767,6033264170010008,APEX CANNABIS,,1325 N DIVISION ST STE 104,,SPOKANE,WA,SPOKANE,992021808,CANNABIS RETAILER,CLOSED (PERMANENT),5094990646,
439988,6058995220010001,APEX MOSES LAKE,,955 W BROADWAY AVE,,MOSES LAKE,WA,GRANT,988372602,CANNABIS RETAILER,ACTIVE (ISSUED),2065082410,
440314,6058995220010003,APEX Otis Orchards,,21502 E GILBERT AVE,,OTIS ORCHARDS,WA,SPOKANE,990279241,CANNABIS RETAILER,ACTIVE (ISSUED),2065082410,
440307,6058995220010002,APEX SPOKANE,,1325 N DIVISION ST STE 104,,SPOKANE,WA,SPOKANE,992021808,CANNABIS RETAILER,ACTIVE (ISSUED),2065082410,
422420,6035889360010001,ARISTOCRAT CANNABIS,,285 CANAL RD,,TOUTLE,WA,COWLITZ,986499703,CANNABIS RETAILER,CLOSED (PERMANENT),2066596531,
422460,6047743750010001,ARISTOCRAT ENTERPRISES II,,2947 E HWY 101  STE A,"B, SUITE A AND B",PORT ANGELES,WA,CLALLAM,98362,CANNABIS RETAILER,ACTIVE (ISSUED),2062000462,
414450,6042912990010001,ARKY VANDELAY LLC,,417 NW 65TH ST,,SEATTLE,WA,KING,981175027,CANNABIS RETAILER,CLOSED (PERMANENT),0000000000,
422175,6035792630010001,AUDYSEA,,5703 OLYMPIC HWY,,ABERDEEN,WA,GRAYS HARBOR,985200000,CANNABIS RETAILER,CLOSED (PERMANENT),3605616972,
413530,6033549000010001,AUSTIN LOTT,,29 HORIZON FLATS RD STE 8,,WINTHROP,WA,OKANOGAN,988628400,CANNABIS RETAILER,CLOSED (PERMANENT),5094295556,
414381,6034023650000000,AWOW INC. (TITLE OWNER ONLY),,RETAIL TITLE CERTIFICATE,,KENT,WA,KING,980320000,RETAIL CERTIFICATE HOLDER,FORMER TITLE CERTIFICATE,4258299707,
414558,6032410690010003,B STREET BUD,,226 E COULEE BLVD,,ELECTRIC CITY,WA,GRANT,991230000,CANNABIS RETAILER,ACTIVE (ISSUED),5095929334,
085059,6033524760010006,BAD ASS WEED CO.,,8459 MAIN ST  UNIT B,UNIT B,DRYDEN,WA,CHELAN,988210000,CANNABIS RETAILER,CLOSED (PERMANENT),5092648044,
420478,6034395390010001,BATSTONE BUD SHOP,,933 E JOHNS PRAIRIE RD,,SHELTON,WA,MASON,985841270,CANNABIS RETAILER,CLOSED (PERMANENT),3604908753,
415127,6041578100010001,BAYSHORE CANNABIS CO,,3831 HIGHWAY 3,,SHELTON,WA,MASON,98584,CANNABIS RETAILER,ACTIVE (ISSUED),2062344663,
415544,6033558630010002,BB&B,,RETAIL TITLE CERTIFICATE,,FEDERAL WAY,WA,KING,980032406,CANNABIS RETAILER,CLOSED (PERMANENT),2532794511,
415544,6033558630010002,BB&B,,RETAIL TITLE CERTIFICATE,,FEDERAL WAY,WA,KING,980032406,RETAIL CERTIFICATE HOLDER,FORMER TITLE CERTIFICATE,2532794511,
422298,6045863300010003,BELFAIR CANNABIS COMPANY,,24090 NE STATE ROUTE 3 STE I,,BELFAIR,WA,MASON,98528,CANNABIS RETAILER,ACTIVE (ISSUED),4044063054,
415253,6033504230010001,BELLEVUE MARIJUANA,,614 116TH AVE NE,,BELLEVUE,WA,KING,980045206,CANNABIS RETAILER,CLOSED (PERMANENT),4254535749,
426125,6033504230010004,BELLEVUE MARIJUANA,,638 116TH AVE NE,,BELLEVUE,WA,KING,980045216,CANNABIS RETAILER,CLOSED (PERMANENT),4254535749,
422612,6035966060010001,BELLINGHAM MARIJUANA,,5463 GUIDE MERIDIAN RD,,BELLINGHAM,WA,WHATCOM,982269771,CANNABIS RETAILER,CLOSED (PERMANENT),2067553751,
424473,6041326560010004,BERNER'S TACOMA,,2632 S 38TH ST STE A,,TACOMA,WA,PIERCE,984097304,CANNABIS RETAILER,CLOSED (PERMANENT),2535031411,
414277,6033530980010001,BETTER BUDS,,4235 OLYMPIC DR W,,BREMERTON,WA,KITSAP,983120000,CANNABIS RETAILER,CLOSED (PERMANENT),2538964100,
421709,6035924360010001,BETTER BUDS,,841 NESS CORNER RD STE B,,PORT HADLOCK,WA,JEFFERSON,983399572,CANNABIS RETAILER,CLOSED (PERMANENT),3607316611,
422525,6033530980010005,BETTER BUDS,,2840 E HWY 101,,PORT ANGELES,WA,CLALLAM,983629070,CANNABIS RETAILER,CLOSED (PERMANENT),3607316611,
425965,6033530980010004,BETTER BUDS,,10384 SILVERDALE WAY NW STE 10,,SILVERDALE,WA,KITSAP,983837670,CANNABIS RETAILER,CLOSED (PERMANENT),3607316611,
430175,6035765800010007,BETTER BUDS,,946 WASHINGTON WAY STE 100,,LONGVIEW,WA,COWLITZ,986324030,CANNABIS RETAILER,CLOSED (PERMANENT),3609676056,
430175,6046285230010001,BETTER BUDS,,946 WASHINGTON WAY STE 100,,LONGVIEW,WA,COWLITZ,98632,CANNABIS RETAILER,CLOSED (PERMANENT),3607033791,
427458,6035481120010006,BIG EYES LLC DBA BUDHUT,,2616 NE 112TH AVE,,VANCOUVER,WA,CLARK,986844284,CANNABIS RETAILER,CLOSED (PERMANENT),4252494949,
420338,6020200610010006,BIGTROPHY ENTERPRISES,,401 RAINER AVE N STE 1,,RENTON,WA,KING,980575319,CANNABIS RETAILER,CLOSED (PERMANENT),4257652935,
429761,6043510130010003,BIRCH BAY BUDZ,,8125 BIRCH BAY SQUARE ST #222,,BLAINE,WA,WHATCOM,98230,CANNABIS RETAILER,ACTIVE (ISSUED),5092094569,
415064,6045989840010001,BLAINE CANNABIS,,922 PEACE PORTAL DR,,BLAINE,WA,WHATCOM,982304409,CANNABIS RETAILER,CLOSED (PERMANENT),3603328922,
350766,6048652490010001,BLOOM,,11311 HIGHWAY 99,,EVERETT,WA,SNOHOMISH,982044816,CANNABIS RETAILER,CLOSED (PERMANENT),5038057828,
414103,6033549360010002,BLOOM,,10707 PACIFIC AVE S SUITE D,,TACOMA,WA,PIERCE,984446098,CANNABIS RETAILER,CLOSED (PERMANENT),4254443456,
414103,6043447500010001,BLOOM,,10707 PACIFIC AVE S SUITE D,,TACOMA,WA,PIERCE,984446098,CANNABIS RETAILER,CLOSED (PERMANENT),8034131254,
414103,6048643700010001,BLOOM,,10707 PACIFIC AVE S STE D,"E,F",TACOMA,WA,PIERCE,98444,CANNABIS RETAILER,ACTIVE (ISSUED),5038057828,
350766,6033549360010003,BLOOM CANNABIS,,11311 HWY 99,,EVERETT,WA,SNOHOMISH,982044816,CANNABIS RETAILER,CLOSED (PERMANENT),4254443456,
350766,6043447500010002,BLOOM CANNABIS,,11311 HWY 99,,EVERETT,WA,SNOHOMISH,982044816,CANNABIS RETAILER,CLOSED (PERMANENT),4254056700,
414902,6030688930010002,BLOWIN SMOKE,,545 C HWY 395 S,,COLVILLE,WA,STEVENS,991140000,CANNABIS RETAILER,CLOSED (PERMANENT),5096758564,
422202,6030688930010003,BLOWIN SMOKE,,1967 HIGHWAY 395 S STE C,,CHEWELAH,WA,STEVENS,991099708,CANNABIS RETAILER,CLOSED (PERMANENT),5099357420,
422202,6040183840010003,BLOWIN SMOKE,,1967 HIGHWAY 395 S STE C,,CHEWELAH,WA,STEVENS,991099708,CANNABIS RETAILER,CLOSED (PERMANENT),5096756901,
415127,6033597820010001,BOMAR HOLDINGS,,3831 HIGHWAY 3,,SHELTON,WA,MASON,985840000,CANNABIS RETAILER,CLOSED (PERMANENT),2062952411,
436428,6055079200010001,BORED N BUZZED,,11516 124TH AVE NE,,KIRKLAND,WA,KING,980334643,CANNABIS RETAILER,ACTIVE (ISSUED),2062265888,
415241,6033536370010003,BOYDEN INVESTMENT GROUP,,2215 4TH AVE S,,SEATTLE,WA,KING,981341516,CANNABIS RETAILER,CLOSED (PERMANENT),5202508988,
422414,6035122630010001,BRIGHTON BAY 2,,RETAIL TITLE CERTIFICATE,,LYNNWOOD,WA,SNOHOMISH,980364715,CANNABIS RETAILER,CLOSED (PERMANENT),2063999999,
422414,6035122630010001,BRIGHTON BAY 2,,RETAIL TITLE CERTIFICATE,,LYNNWOOD,WA,SNOHOMISH,980364715,RETAIL CERTIFICATE HOLDER,FORMER TITLE CERTIFICATE,2063999999,
421335,6043374800010001,BUD BARN,,6725 MARTIN WAY E,,OLYMPIA,WA,THURSTON,98516,CANNABIS RETAILER,ACTIVE (ISSUED),3609601220,
428005,6040474400010004,BUD BARN,,10619 VANCIL RD SE,,YELM,WA,THURSTON,985979504,CANNABIS RETAILER,CLOSED (PERMANENT),3605397291,
428005,6043374800010002,BUD BARN,,10619 VANCIL RD SE,,YELM,WA,THURSTON,98597,CANNABIS RETAILER,ACTIVE (ISSUED),3609601220,
413802,6033518190010001,BUD COMMANDER,,849 TROSPER RD SW STE 207,,TUMWATER,WA,THURSTON,98512,CANNABIS RETAILER,ACTIVE (ISSUED),3606881709,
410831,6035699590010001,BUD HUT,,26207 MAPLE VALLEY BLACK,DIAMOND RD,MAPLE VALLEY,WA,KING,980388378,CANNABIS RETAILER,CLOSED (PERMANENT),4257604345,
413901,6033591690010001,BUD HUT,,1131 E STATE ROUTE 532,,CAMANO ISLAND,WA,ISLAND,982828833,CANNABIS RETAILER,CLOSED (PERMANENT),4254789928,
415361,6033525070010003,BUD HUT,,8142 HIGHWAY 14,,LYLE,WA,KLICKITAT,986350000,CANNABIS RETAILER,CLOSED (PERMANENT),4254781077,
415504,6033594940010001,BUD HUT,,11603 HWY 99,,EVERETT,WA,SNOHOMISH,982044811,CANNABIS RETAILER,CLOSED (PERMANENT),4253531449,
421568,6035481120010003,BUD HUT,,1717 NE ANDRESEN RD,,VANCOUVER,WA,CLARK,986616890,CANNABIS RETAILER,CLOSED (PERMANENT),4257896996,
422781,6036026430010002,BUD HUT,,200 SUZANNE LANE STE D,,MOUNT VERNON,WA,SKAGIT,982739514,CANNABIS RETAILER,CLOSED (PERMANENT),3606681111,
422792,6036026430010001,BUD HUT,,2200 TALLEY WAY  STE A,SUITE A,KELSO,WA,COWLITZ,986265511,CANNABIS RETAILER,CLOSED (PERMANENT),3606681111,
072437,6030294870010003,BUD NATION,,9640 16TH AVE SW STE A,,SEATTLE,WA,KING,981062827,CANNABIS RETAILER,CLOSED (PERMANENT),2068198898,
415203,6030294870010004,BUD NATION,,9640 16TH AVE SW STE C & D,,SEATTLE,WA,KING,981062827,CANNABIS RETAILER,CLOSED (PERMANENT),2065882441,
413893,6033590560010001,BUDDY'S,,420 SUNSET BLVD N STE A,,RENTON,WA,KING,98055,CANNABIS RETAILER,ACTIVE (ISSUED),4256819665,
420661,6035688640010001,BUDEEZ,,2111 E 11TH ST,,BREMERTON,WA,KITSAP,98310,CANNABIS RETAILER,ACTIVE (ISSUED),3606207114,
410831,6045346320010005,BUDHUT,,26207 MAPLE VALLEY BLACK,DIAMOND RD #C,MAPLE VALLEY,WA,KING,98038,CANNABIS RETAILER,ACTIVE (ISSUED),2066932900,
413901,6045346320010001,BUDHUT,,1131 E STATE ROUTE 532,,CAMANO ISLAND,WA,ISLAND,98282,CANNABIS RETAILER,ACTIVE (ISSUED),2066932900,
415504,6045346320010002,BUDHUT,,11603 HWY 99,,EVERETT,WA,SNOHOMISH,98204,CANNABIS RETAILER,ACTIVE (ISSUED),2066932900,
421642,6035699590010002,BUDHUT,,8529 52ND ST SE,,SNOHOMISH,WA,SNOHOMISH,982909282,CANNABIS RETAILER,CLOSED (PERMANENT),4257896996,
422332,6035726930010004,BUDHUT,,70 SALTSPRING DR,UNIT 2A,FRIDAY HARBOR,WA,SAN JUAN,982509062,CANNABIS RETAILER,ACTIVE (ISSUED),3606681111,
421005,6033500470010006,BUDS GARAGE,,3015 EVERETT AVE,,EVERETT,WA,SNOHOMISH,982013822,CANNABIS RETAILER,CLOSED (PERMANENT),4253219471,
437604,6033500470010010,BUDS GARAGE,,2712 HEWITT AVE,SMP - 2,EVERETT,WA,SNOHOMISH,98201,CANNABIS RETAILER,ACTIVE (ISSUED),4253219471,
422362,6044551770000000,"C4U2, LLC (TITLE OWNER ONLY)",,RETAIL TITLE CERTIFICATE,,VANCOUVER,WA,CLARK,986658928,CANNABIS RETAILER,CLOSED (PERMANENT),3607987194,
422362,6044551770000000,"C4U2, LLC (TITLE OWNER ONLY)",,RETAIL TITLE CERTIFICATE,,VANCOUVER,WA,CLARK,986658928,RETAIL CERTIFICATE HOLDER,FORMER TITLE CERTIFICATE,3607987194,
424633,6043926110010001,CANNA GREEN LLC (TITLE OWNER ONLY),,RETAIL TITLE CERTIFICATE,,OTHELLO,WA,FRANKLIN,993440000,RETAIL CERTIFICATE HOLDER,FORMER TITLE CERTIFICATE,2532056704,
420666,6033595980010008,CANNA WEST SEATTLE,,5440 CALIFORNIA AVE SW,,SEATTLE,WA,KING,98136,CANNABIS RETAILER,ACTIVE (ISSUED),2066969240,
424057,6033595980010007,CANNA WEST SEATTLE,,5435 CALIFORNIA AVE SW,,SEATTLE,WA,KING,981361512,CANNABIS RETAILER,CLOSED (PERMANENT),2066969240,
